date,house_size,bed,bath,price,broker,street,city,state_name,zip_code
"AUG 30, 2024",900 sqft,2bd,2bd,"$210,000","RE/MAX Suburban, Closed",1186 E  Azalea Ln #20C, Palatine,Illinois,60074
"AUG 30, 2024",,,,"$24,900","Mary Ann Ladendorf, RE/MAX Traders Unlimited",21 Winged Foot Dr, Pekin,Illinois,61554
"AUG 29, 2024","1,260 sqft",3bd,3bd,"$165,000","Coldwell Banker R.E. Group, Closed",2205 Welland Dr, Champaign,Illinois,61821
"AUG 29, 2024","1,222 sqft",3bd,3bd,"$194,000","Taylor Realty Associates, Closed",505 S  Bryarfield Ct, Mahomet,Illinois,61853
"AUG 29, 2024","2,184 sqft (on 0.27 acres)",5bd,5bd,"$81,000","The Real Estate Group,Inc, Closed",361 W  Champaign Ave, Rantoul,Illinois,61866
"AUG 29, 2024","1,632 sqft",3bd,3bd,"$160,000","RYAN DALLAS REAL ESTATE, Closed",307 N  Prospect Ave, Champaign,Illinois,61820
"AUG 29, 2024","1,000 sqft",2bd,2bd,"$105,000","KELLER WILLIAMS-TREC, Closed",608 S  Duncan Rd #B, Champaign,Illinois,61821
"AUG 29, 2024","1,998 sqft",4bd,4bd,"$475,000","MisterHomes Real Estate, Closed",901 N  Saratoga Dr, Palatine,Illinois,60074
"AUG 29, 2024",,4bd,4bd,"$430,000","Coldwell Banker Realty, Closed",1222 E  Pratt Dr, Palatine,Illinois,60074
"AUG 29, 2024","2,200 sqft",4bd,4bd,"$482,500","Keller Williams Success Realty, Closed",1005 Freeman Rd, Hoffman Estates,Illinois,60192
"AUG 29, 2024","5,980 sqft (on 2.10 acres)",6bd,6bd,"$1,149,200","Coldwell Banker Realty, Closed",1800 Durham Dr, Inverness,Illinois,60067
"AUG 29, 2024","1,900 sqft",3bd,3bd,"$360,000","Homesmart Connect LLC, Closed",3 Kendall On Oxford, Rolling Meadows,Illinois,60008
"AUG 29, 2024","1,150 sqft",2bd,2bd,"$253,000","@properties Christie's International Real Estate, Closed",1152 Silverwood Ct #B2, Wheeling,Illinois,60090
"AUG 29, 2024",700 sqft,1bd,1bd,"$152,500","RE/MAX Suburban, Closed",6 Villa Verde Dr #306, Buffalo Grove,Illinois,60089
"AUG 29, 2024","1,387 sqft",3bd,3bd,"$282,000","Gold & Azen Realty, Closed",411 Buffalo Trl, Wheeling,Illinois,60090
"AUG 29, 2024","1,656 sqft",2bd,2bd,"$503,000","Coldwell Banker Realty, Closed",2184 N  Lake Shore Cir, Arlington Heights,Illinois,60004
"AUG 29, 2024","1,901 sqft",3bd,3bd,"$425,000","Compass, Closed",1605 E  Cedar Ln, Mount Prospect,Illinois,60056
"AUG 29, 2024","3,000 sqft",4bd,4bd,"$997,000","Redfin Corporation, Closed",1008 N  Illinois Ave, Arlington Heights,Illinois,60004
"AUG 29, 2024","1,233 sqft",3bd,3bd,"$450,000","Keller Williams North Shore West, Closed",1420 E  Emmerson Ln, Mount Prospect,Illinois,60056
"AUG 29, 2024","1,520 sqft",2bd,2bd,"$530,000","Compass, Closed",3048 Lexington Ln #3L41, Glenview,Illinois,60026
"AUG 29, 2024","1,800 sqft",3bd,3bd,"$252,000","Coldwell Banker Realty, Closed",3801 Appian Way #110, Glenview,Illinois,60025
"AUG 29, 2024","1,424 sqft",2bd,2bd,"$235,000","eXp Realty, LLC, Closed",3801 Appian Way #209, Glenview,Illinois,60025
"AUG 29, 2024",,5bd,5bd,"$2,200,000","@properties Christie's International Real Estate, Closed",609 Washington Ave, Glencoe,Illinois,60022
"AUG 29, 2024","4,000 sqft (on 0.42 acres)",5bd,5bd,"$1,825,000","Compass, Closed",90 Harbor St, Glencoe,Illinois,60022
"AUG 29, 2024","4,597 sqft (on 0.50 acres)",5bd,5bd,"$2,200,000","@properties Christie's International Real Estate, Closed",845 Glen Oak Dr, Winnetka,Illinois,60093
"AUG 29, 2024","2,050 sqft",3bd,3bd,"$635,082","@properties Christie's International Real Estate, Closed",2105 Wilmette Ave, Wilmette,Illinois,60091
"AUG 29, 2024",,3bd,3bd,"$1,200,029","@properties Christie's International Real Estate, Closed",931 Oakwood Ave, Wilmette,Illinois,60091
"AUG 29, 2024","1,443 sqft",3bd,3bd,"$345,000","MisterHomes Real Estate, Closed",86 Joslyn Dr, Elgin,Illinois,60120
"AUG 29, 2024",927 sqft,2bd,2bd,"$279,000","Coldwell Banker Real Estate Group, Closed",508 Cleveland Ave, Elgin,Illinois,60120
"AUG 29, 2024","2,250 sqft (on 0.48 acres)",3bd,3bd,"$373,000","Century 21 Circle, Closed",1675 Pebble Beach Dr, Hoffman Estates,Illinois,60169
"AUG 29, 2024","2,900 sqft",5bd,5bd,"$801,000","Century 21 Circle, Closed",821 Heatherstone Dr, Schaumburg,Illinois,60173
"AUG 29, 2024","2,125 sqft (on 0.25 acres)",3bd,3bd,"$430,000","Baird & Warner, Closed",1061 Warwick Cir N, Hoffman Estates,Illinois,60169
"AUG 29, 2024","1,950 sqft",3bd,3bd,"$390,000","@properties Christie's International Real Estate, Closed",211 Woburn Ln, Schaumburg,Illinois,60173
"AUG 29, 2024","1,100 sqft",2bd,2bd,"$185,000","Home 4 U Realty, Inc., Closed",733 Limerick Ln #3A, Schaumburg,Illinois,60193
"AUG 29, 2024","1,917 sqft",3bd,3bd,"$470,000","Redfin Corporation, Closed",1235 Diane Ln, Elk Grove Village,Illinois,60007
"AUG 29, 2024","1,200 sqft",2bd,2bd,"$225,900","RE/MAX Liberty, Closed",700 Wellington Ave #518, Elk Grove Village,Illinois,60007
"AUG 29, 2024","1,442 sqft (on 0.26 acres)",3bd,3bd,"$365,000","Chicagoland Brokers Inc., Closed",708 E  Prairie Ave, Des Plaines,Illinois,60016
"AUG 29, 2024","1,389 sqft",2bd,2bd,"$260,000","@properties Christie's International Real Estate, Closed",1600 E  Thacker St #610, Des Plaines,Illinois,60016
"AUG 29, 2024","3,616 sqft (on 0.27 acres)",5bd,5bd,"$925,000","RE/MAX Properties Northwest, Closed",1539 E  Marcus Ct, Park Ridge,Illinois,60068
