date,bed,bath,price,broker,street,city,state_name,zip_code,house_sqft
2024-08-28,3.0,3.0,241000.0,WJH Brokerage FL LLC,3410 Shell Rd, Jay,Florida,32565,1416.0
2024-08-28,4.0,4.0,349900.0,DR Horton Realty of Northwest Florida LLC,329 Flounder St, Crestview,Florida,32539,1787.0
2024-08-28,4.0,4.0,344900.0,DR Horton Realty of Northwest Florida LLC,331 Flounder St, Crestview,Florida,32539,1787.0
2024-08-28,3.0,3.0,246742.0,Flynn Built Realty,2954 N  10th Ave, Milton,Florida,32583,1145.0
2024-08-28,4.0,4.0,347490.0,"Lennar Realty, Inc.",6682 Sun Tree Cir #4B, Pensacola,Florida,32526,1815.0
2024-08-28,5.0,5.0,379900.0,DR Horton Realty of Emerald Coast LLC,69 Riverwalk Cir, Freeport,Florida,32439,2550.0
2024-08-28,4.0,4.0,387190.0,DSLD Homes Florida LLC,4606 Jayhawk Dr, Crestview,Florida,32539,1986.0
2024-08-28,1.0,1.0,150000.0,"TEAM SANDY BLANTON REALTY, INC",2201 Scenic Hwy #B4, Pensacola,Florida,32503,651.0
2024-08-28,3.0,3.0,234900.0,Coastwise Realty,25 Susquehanna Trl, Crawfordville,Florida,32327,1406.0
2024-08-28,3.0,3.0,409630.0,DSLD Homes Florida LLC,21 Apollo Ave E, Freeport,Florida,32439,1848.0
2024-08-28,4.0,4.0,595000.0,Coldwell Banker Hartung,7941 Preservation Rd, Tallahassee,Florida,32312,2865.0
2024-08-28,4.0,4.0,603880.0,DSLD Homes Florida LLC,2963 Ridge Trail Blvd #22-C, Lot Cantonment,Florida,32533,3022.0
2024-08-28,2.0,2.0,185750.0,Unknown,1552 Twin Lakes Cir #A, Tallahassee,Florida,32311,1096.0
2024-08-28,4.0,4.0,321607.0,"Armor Realty, Inc",314 Ponce St, Tallahassee,Florida,32303,1516.0
2024-08-28,3.0,3.0,229000.0,Keller Williams Town & Country,2701 Flat Creek Rd, Chattahoochee,Florida,32324,1392.0
2024-08-28,3.0,3.0,325097.0,Adams Homes Realty Inc,207 Baycliff Dr, Crestview,Florida,32536,1717.0
2024-08-28,2.0,2.0,250000.0,Unknown,520 N  Richard Jackson Blvd #2810, Panama City Beach,Florida,32407,1254.0
2024-08-28,3.0,3.0,1337500.0,Compass,68 Tamoka Ct, Inlet Beach,Florida,32461,2435.0
2024-08-27,3.0,3.0,265000.0,"Pristine Properties, LLC",310 Maryland Blvd, Mexico Beach,Florida,32456,1296.0
2024-08-27,3.0,3.0,319900.0,Unknown,1410 Wisconsin Ave, Lynn Haven,Florida,32444,1504.0
2024-08-27,1.0,1.0,250000.0,Unknown,825 Fitness Rd, Southport,Florida,32409,608.0
2024-08-27,2.0,2.0,300000.0,Unknown,6818 Sunset Ave, Panama City Beach,Florida,32408,1268.0
2024-08-27,2.0,2.0,256000.0,Unknown,133 W  Leslie Ln, Panama City Beach,Florida,32407,972.0
2024-08-27,2.0,2.0,420000.0,Unknown,165 Grande Island Blvd, Panama City Beach,Florida,32407,1496.0
2024-08-27,2.0,2.0,425000.0,Unknown,17642 Front Beach Rd #J30, Panama City Beach,Florida,32413,1260.0
2024-08-27,3.0,3.0,542500.0,Unknown,301 S  Wells St, Panama City Beach,Florida,32413,1488.0
2024-08-27,4.0,4.0,435000.0,POINTE SOUTH,4730 Abercrombie, Pensacola,Florida,32504,2103.0
2024-08-27,2.0,2.0,185000.0,COLDWELL BANKER REALTY,10171 Vixen Pl, Pensacola,Florida,32514,1053.0
2024-08-27,3.0,3.0,399000.0,KELLER WILLIAMS REALTY GULF COAST,590 Bobwhite Pl, Pensacola,Florida,32514,2007.0
2024-08-27,4.0,4.0,117000.0,Coldwell Banker Realty,500 N  Wentworth St, Pensacola,Florida,32505,1546.0
2024-08-27,2.0,2.0,192500.0,Realty One Group Emerald Coast,12 Dorsay Ln, Pensacola,Florida,32506,1995.0
2024-08-27,3.0,3.0,275000.0,Warner Realty Inc.,521 Briarwood Dr, Pensacola,Florida,32506,1917.0
2024-08-27,4.0,4.0,1085000.0,"Mike Whitner, RE/MAX Gulf Properties, Closed",13942 River Rd, Pensacola,Florida,32507,2777.0
2024-08-27,3.0,3.0,170000.0,BHHS Beach Properties of Florida,861 Barksdale St, Pensacola,Florida,32514,1270.0
2024-08-27,2.0,2.0,65500.0,Unknown,367 N  Kim Ave, Wewahitchka,Florida,32465,576.0
2024-08-27,4.0,4.0,659000.0,Unknown,203 Beacon Rd, Port Saint Joe,Florida,32456,2176.0
2024-08-27,3.0,3.0,299900.0,Unknown,2189 El Bethel Church Rd, Grand Ridge,Florida,32442,1645.0
2024-08-27,1.0,1.0,117500.0,Xcellence Realty,2652 Clara Kee Blvd, Tallahassee,Florida,32303,716.0
2024-08-27,2.0,2.0,170000.0,"Twelve Points Real Estate, LLC",1314 Idlewild Dr, Tallahassee,Florida,32311,1110.0
2024-08-27,4.0,4.0,250000.0,Re/Max Professionals Realty,315 Rehwinkle Dr, Tallahassee,Florida,32305,1568.0
2024-08-27,5.0,5.0,1970000.0,Live Beautiful,3650 Highway 98 E #16, Destin,Florida,32541,2472.0
2024-08-27,4.0,4.0,442000.0,The Gulf Coast Property Group,203 Girard Ave NW, Fort Walton Beach,Florida,32548,1920.0
2024-08-27,3.0,3.0,321000.0,Levin Rinke Realty,5212 Tupelo Ln, Milton,Florida,32570,1851.0
2024-08-27,3.0,3.0,230000.0,Coldwell Banker Realty,4747 Easter St, Pace,Florida,32571,1471.0
